dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1672531200,2023-01-01 00:00:00 +0000 UTC,3600,Zürich,47.376887,8.541694,9.47,2300.0,5.83,7.07,7.4,10.05,1023,,,78,4.63,170,,,,,,75,721,Haze,haze,50n
1672534800,2023-01-01 01:00:00 +0000 UTC,3600,Zürich,47.376887,8.541694,9.75,3800.0,6.1,6.03,7.17,13.82,1023,,,78,9.3,200,13.4,,,,,75,701,Mist,mist,50n
1672538400,2023-01-01 02:00:00 +0000 UTC,3600,Zürich,47.376887,8.541694,9.86,6000.0,6.39,6.29,7.1,13.22,1023,,,79,8.8,200,14.9,,,,,40,802,Clouds,scattered clouds,03n
1672542000,2023-01-01 03:00:00 +0000 UTC,3600,Zürich,47.376887,8.541694,9.5,5000.0,6.04,7.58,7.17,11.58,1023,,,79,3.6,160,8.2,,,,,20,801,Clouds,few clouds,02n
1672545600,2023-01-01 04:00:00 +0000 UTC,3600,Zürich,47.376887,8.541694,9.05,7000.0,5.79,6.35,6.79,10.12,1023,,,80,5.14,170,,,,,,75,803,Clouds,broken clouds,04n
1672549200,2023-01-01 05:00:00 +0000 UTC,3600,Zürich,47.376887,8.541694,12.23,9999.0,6.72,11.31,9.17,14.05,1023,,,69,8.2,200,13.9,,,,,75,803,Clouds,broken clouds,04n
1672552800,2023-01-01 06:00:00 +0000 UTC,3600,Zürich,47.376887,8.541694,13.78,9999.0,7.1,12.88,9.38,15.23,1023,,,64,9.8,200,15.4,,,,,75,803,Clouds,broken clouds,04n
1672556400,2023-01-01 07:00:00 +0000 UTC,3600,Zürich,47.376887,8.541694,12.28,9999.0,6.97,11.39,8.38,13.28,1023,,,70,9.8,200,13.9,,,,,20,801,Clouds,few clouds,02n
1672560000,2023-01-01 08:00:00 +0000 UTC,3600,Zürich,47.376887,8.541694,11.62,9999.0,6.34,10.67,7.34,14.05,1024,,,70,8.8,200,13.9,,,,,0,800,Clear,sky is clear,01d
1672563600,2023-01-01 09:00:00 +0000 UTC,3600,Zürich,47.376887,8.541694,12.15,9999.0,6.64,11.22,9.98,14.05,1024,,,69,9.8,200,15.4,,,,,0,800,Clear,sky is clear,01d
1672567200,2023-01-01 10:00:00 +0000 UTC,3600,Zürich,47.376887,8.541694,13.92,9999.0,7.0,13.01,11.79,15.08,1024,,,63,8.2,210,12.4,,,,,0,800,Clear,sky is clear,01d
1672570800,2023-01-01 11:00:00 +0000 UTC,3600,Zürich,47.376887,8.541694,15.11,9999.0,7.17,14.22,12.9,16.05,1024,,,59,8.2,190,12.9,,,,,0,800,Clear,sky is clear,01d
1672574400,2023-01-01 12:00:00 +0000 UTC,3600,Zürich,47.376887,8.541694,15.5,9999.0,7.53,14.65,14.01,16.05,1023,,,59,7.7,180,15.4,,,,,0,800,Clear,sky is clear,01d
